,year,state,state_abbr,county,commodity,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD
95,2021,NORTH DAKOTA,ND,BOTTINEAU,WHEAT,237000.0,240000.0,9859000.0,41.6
96,2021,NORTH DAKOTA,ND,BOWMAN,WHEAT,62300.0,80500.0,829000.0,13.3
97,2021,NORTH DAKOTA,ND,BURKE,WHEAT,124500.0,125500.0,5030000.0,40.4
98,2021,NORTH DAKOTA,ND,BURLEIGH,WHEAT,39600.0,44900.0,693000.0,17.5
99,2021,NORTH DAKOTA,ND,CASS,WHEAT,85000.0,86100.0,5075000.0,59.7
100,2021,NORTH DAKOTA,ND,DIVIDE,WHEAT,93500.0,95200.0,3011000.0,32.2
101,2021,NORTH DAKOTA,ND,DUNN,WHEAT,138000.0,147000.0,3616000.0,26.2
102,2021,NORTH DAKOTA,ND,EDDY,WHEAT,31000.0,33200.0,822000.0,26.5
103,2021,NORTH DAKOTA,ND,EMMONS,WHEAT,37400.0,52500.0,692000.0,18.5
104,2021,NORTH DAKOTA,ND,FOSTER,WHEAT,31900.0,32500.0,1193000.0,37.4
105,2021,NORTH DAKOTA,ND,GRAND FORKS,WHEAT,126800.0,128000.0,5884000.0,46.4
106,2021,NORTH DAKOTA,ND,GRANT,WHEAT,92400.0,101500.0,1340000.0,14.5
107,2021,NORTH DAKOTA,ND,GRIGGS,WHEAT,56200.0,58100.0,2591000.0,46.1
108,2021,NORTH DAKOTA,ND,HETTINGER,WHEAT,252000.0,259500.0,6930000.0,27.5
109,2021,NORTH DAKOTA,ND,KIDDER,WHEAT,31000.0,41000.0,899000.0,29.0
110,2021,NORTH DAKOTA,ND,LA MOURE,WHEAT,24100.0,24700.0,897000.0,37.2
111,2021,NORTH DAKOTA,ND,LOGAN,WHEAT,25900.0,28700.0,632000.0,24.4
112,2021,NORTH DAKOTA,ND,MCHENRY,WHEAT,103000.0,112000.0,1978000.0,19.2
113,2021,NORTH DAKOTA,ND,MCINTOSH,WHEAT,40000.0,48900.0,1088000.0,27.2
114,2021,NORTH DAKOTA,ND,MCKENZIE,WHEAT,89800.0,102000.0,1194000.0,13.3
115,2021,NORTH DAKOTA,ND,MCLEAN,WHEAT,215000.0,229500.0,5440000.0,25.3
116,2021,NORTH DAKOTA,ND,MERCER,WHEAT,42000.0,50100.0,634000.0,15.1
117,2021,NORTH DAKOTA,ND,MORTON,WHEAT,104300.0,125000.0,1752000.0,16.8
118,2021,NORTH DAKOTA,ND,NELSON,WHEAT,104300.0,106000.0,4120000.0,39.5
119,2021,NORTH DAKOTA,ND,OLIVER,WHEAT,44000.0,50000.0,766000.0,17.4
120,2021,NORTH DAKOTA,ND,OTHER COUNTIES,WHEAT,522900.0,543600.0,21110000.0,40.4
