year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BANNOCK,005,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,49.6,7.2
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BINGHAM,011,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,107.8,3.0
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BINGHAM,011,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,108.2,4.0
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BINGHAM,011,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,105.9,4.70
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BONNEVILLE,019,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,45.5,19.0
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BONNEVILLE,019,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,60.4,26.6
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BONNEVILLE,019,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,64.2,24.80
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BUTTE,023,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,110.2,6.6
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CARIBOU,029,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,49.6,13.8
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CARIBOU,029,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,38.4,15.5
