,year,state,admin,crop_fire_co2e_100yr,crop_fire_n2o,crop_residues_co2e_100yr,crop_residues_n2o,manure_fertilizer_co2e_100yr,manure_fertilizer_n2o,rice_co2e_100yr,rice_n2o,soil_co2e_100yr,soil_n2o,synth_fertilizer_co2e_100yr,synth_fertilizer_n2o
18,2021,ALABAMA,FAYETTE,3.764411806815907e-05,1.2110009464674554e-07,508.06938,1.86106,847.06986,3.10282,178.5474968028958,0.0,23623.780889536,10.839806161308646,6101.004,22.348
19,2021,ALABAMA,FRANKLIN,100.73259766981566,0.0766401216860608,3772.2757800000004,13.817860000000001,2802.19212,10.264439999999999,287.658069989148,0.0,24079.83843146379,11.892798190687467,19329.83052,70.80524000000001
20,2021,ALABAMA,GENEVA,7241.774836593072,5.509460050785893,2529.49242,9.26554,9563.3811,35.0307,258.5327034692082,0.0,21497.412585342943,9.864118977585534,65648.35914,240.47018
21,2021,ALABAMA,HENRY,4280.784738241078,3.256760057463895,1277.9403,4.6811,5108.1849,18.7113,195.48120869548478,0.0,20841.829856639593,10.293577222917923,41690.22312,152.71144
22,2021,ALABAMA,HOUSTON,13140.561308480286,9.99716002451068,2526.59862,9.25494,9058.58772,33.18164,384.7528563665009,0.0,20476.983814289146,9.395893754393379,68023.05510000001,249.1687
23,2021,ALABAMA,JACKSON,52.6611617323492,0.04006019676750267,15442.20132,56.56484,7684.58964,28.14868,475.9403486948576,0.0,41700.7618670335,20.595601033374425,43272.411,158.507
24,2021,ALABAMA,LAUDERDALE,376.3674895678054,0.2863400954080678,7227.003420000001,26.47254,3979.70118,14.577659999999998,393.48720633849496,0.0,25465.113225681842,11.684704177240192,29554.8435,108.2595
25,2021,ALABAMA,LAWRENCE,814.75562506434,0.6198600764645824,11275.2822,41.3014,6618.48096,24.243519999999997,272.2665774134264,0.0,26251.81249838166,12.965515074846838,50679.43608,185.63896
26,2021,ALABAMA,LIMESTONE,211.08182463151994,0.16060007780911936,8579.76756,31.42772,3514.07238,12.87206,351.69582100770634,0.0,20990.048559186926,9.631314257525315,25945.859939999995,95.03978
27,2021,ALABAMA,MACON,271.034972895881,0.2062001054195648,548.98116,2.01092,2365.66512,8.66544,189.0665086793979,0.0,22831.380904053767,11.276197150552102,16137.401280000002,59.11136
28,2021,ALABAMA,MADISON,433.1538832891866,0.3295400701713832,11631.86934,42.60758,4777.1451,17.4987,1024.1146137767341,0.0,25237.08446147672,11.580072847702205,34859.18436,127.68932
29,2021,ALABAMA,MARENGO,130.54979368769077,0.09932017053658224,1009.35744,3.6972800000000006,1701.4998,6.232600000000001,393.57411924010484,0.0,36752.53749104824,18.151721101483375,10074.26238,36.902060000000006
