,year,state,state_abbr,county,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
634,2021,MICHIGAN,MI,OTHER COUNTIES,CORN,189470.0,,239200.0,28449500.0,,150.2,
635,2021,MICHIGAN,MI,OTSEGO,CORN,1110.0,,1300.0,157300.0,,141.7,
636,2021,MICHIGAN,MI,OTTAWA,CORN,29000.0,,40300.0,5014000.0,,172.9,
637,2021,MICHIGAN,MI,PRESQUE ISLE,CORN,5810.0,,6700.0,863000.0,,148.5,
638,2021,MICHIGAN,MI,SAGINAW,CORN,85000.0,,90000.0,15122000.0,,177.9,
639,2021,MICHIGAN,MI,SANILAC,CORN,89000.0,,108000.0,18868000.0,,212.0,
640,2021,MICHIGAN,MI,SHIAWASSEE,CORN,48900.0,,56400.0,7938000.0,,162.3,
641,2021,MICHIGAN,MI,ST CLAIR,CORN,25800.0,,29200.0,4502000.0,,174.5,
642,2021,MICHIGAN,MI,TUSCOLA,CORN,72500.0,,78900.0,14884000.0,,205.3,
643,2021,MICHIGAN,MI,VAN BUREN,CORN,46100.0,,50700.0,7330000.0,,159.0,
644,2021,MICHIGAN,MI,WASHTENAW,CORN,34900.0,,40400.0,6230000.0,,178.5,
645,2021,MICHIGAN,MI,WAYNE,CORN,1530.0,,1700.0,193700.0,,126.6,
646,2021,MICHIGAN,MI,WEXFORD,CORN,5350.0,,6400.0,730000.0,,136.4,
647,2021,MINNESOTA,MN,AITKIN,CORN,800.0,880.0,1700.0,75600.0,7500.0,94.5,8.5
648,2021,MINNESOTA,MN,ANOKA,CORN,4100.0,,5400.0,458000.0,,111.7,
649,2021,MINNESOTA,MN,BECKER,CORN,64100.0,,76800.0,9743000.0,,152.0,
650,2021,MINNESOTA,MN,BELTRAMI,CORN,1570.0,,7200.0,123000.0,,78.3,
651,2021,MINNESOTA,MN,BENTON,CORN,38100.0,16000.0,55700.0,5003000.0,232000.0,131.3,14.5
652,2021,MINNESOTA,MN,BIG STONE,CORN,105400.0,,107500.0,19172000.0,,181.9,
653,2021,MINNESOTA,MN,BLUE EARTH,CORN,179600.0,,183000.0,35992000.0,,200.4,
654,2021,MINNESOTA,MN,BROWN,CORN,144500.0,11000.0,157500.0,27050000.0,253000.0,187.2,23.0
655,2021,MINNESOTA,MN,CARLTON,CORN,,410.0,,,6800.0,,16.5
656,2021,MINNESOTA,MN,CARVER,CORN,48600.0,4250.0,53500.0,9030000.0,100000.0,185.8,23.5
